id,name,description,assigned,annotated
46,Privy room,It's dark and only lit by a candle stuck in a small candle holder in each wall. For what it is the room is large with plenty of room. It has a small wooden table off to the left. There's a small window behind overlooking the court yard. This is truly the work horse of the castle. It has seen more action then the throne room or even the war room. Everyone from the king to the kings court visits this room daily. It took years to build and all the workers love having a place to gather.,0,0
48,Castle courtyard bazaar,"There are tents set up everywhere flying family crest banners, the area is thronged with people wearing rough clothing, knights in half armor, children running around begging pennies for sweetmeats. The smell of roasting meat is rich in the air and the crowd grows louder with each passing hour due to the various vendors selling mead and wine. The bazaar is an exciting time when the farmers have pulled in their harvest and everyone meets to sample wares and trade stock for the upcoming winter. It is an exciting celebration that the people look forward to all year long, for they get to visit with friends from far away locations and taste the wonderful pies and fruits the farmers and their wives have brought.",0,0
50,Unexplored jungle,"Located outside of civilization, the jungle is a vast unknown. Many plants never seen, many beasts never discovered.  However, what is known is that one cannot survive alone in this jungle.  There are many poisonous trees and plants and it is impossible to see the sun once in it.  Just an incredible amount of vast, dense and impassable vegetation. This area mostly unexplored and is still a mystery to this day.  Many have traveled into the depths of this place, but few have ever returned to tell their tales.  The lack of light, the heat, and the various plants and beasts that dwell in this place (some have deemed as monsters) have taken many a curious traveler, never to return.",1,0
52,The Inside Temple,"The Inside Temple is located in the center of the city.  It has large pillars outside surrounding it with many drawings and paintings on the pillars of the various deities that the Temple serves. The entrance doors are layered with incarnate gold and throughout the inside of the temple are the same type pillars on a smaller scale all leading to a large area in the middle with a gloriously large altar and many statues of deities in a semicircle around it.  There is not artificial light, only candles and torches so not to perturb the deities. Many years before, the people ever gratified for the protection of the gods decided to all give part of their earnings to build the most glorious temple ever constructed in a city.  A collection was taken the glorious temple was built.  It is the pride and joy of all in the city and it the talk of the entire countryside.",0,0
54,Haunted Swamp,"A misty, foggy area with the swamp. It is dirty and smelly. This is a place that no one dares to go to. It is said to be haunted with many ghosts. Many people who have came here never returned home.",0,0
56,Turquoise Shore,A beautiful turquoise color water by the shore. It is filled with many gems and gold. It is said that this place is lived my mermaids and they love to find and collect gems and gold. They love shiny things.,0,0
58,The Forsaken Castle,"Old and creepy, the castle has been abandoned for centuries now. It is broken and destroyed. The castle use to belong to a kingdom. It was a beautiful and rich kingdom, but the people were murdered by bandits.",0,0
60,The Great Hall,Large room with vast ceilings for meetings and dining. There is a large ornate table at the head of the room for the king and his guest overlooking smaller tables for the servants. The Great Hall is the room in the castle where all can meet and dine. The king sits at a higher dining table than the rest overlooking servants at lower tables. The king meets with all leaders and visitors here.,0,0
62,Abandoned Mine,"A crumbling hole gapes in the side of the stone, surrounded by rotted wood timbers. A few rusted pieces of block and tackle lay half-buried in scraggly grass. A strange sort of humming noise emanates from within. A generation ago, people sought their fortunes here. After a decade, they'd discovered heartbreak, sorrow, and agony. If fortunes were to be had, it evidently wasn't here. The miners - the lucky ones, anyway - moved on. What spends its time here today is anyone's guess.",0,0
64,An Unfinished Mausoleum,"Two-and-a-half walls of the finest, whitest stone stand here, weathered by the passing of countless seasons. There is no roof, nor sign that there ever was one. All indications are that the work was abruptly abandoned. There is no door, nor markings on the walls. Nor is there any indication that any coffin has ever lain here... yet. Bright white stone was all the fad for funerary architecture, once upon a time. It's difficult to understand why someone would abandon such a large and expensive undertaking. If they didn't have the money to finish it, they could have sold the stone, surely - or the mausoleum itself. Maybe they just haven't needed it yet? A bit odd, though, given how old it is. Maybe the gravedigger remembers... if he's sober.",0,0
66,Fishmonger's stall,"A small booth near the edge of the port, it's protected by a piece of old, sun-bleached sailcloth. Baskets of freshly-caught fish, bivalves, and eels sit in the shade in stained wooden troughs of water. A small, aggressive-looking dog is chained to one table, presumably to keep cats away. The stall is redolent with the aroma of fish. Where there's water, there are fish, and where there are fish, there are stories about ""the one that got away"", and of course fishermen. As they can be unpleasantly salty characters unfit for the company of the more genteel sorts of ladyfolk, enterprising individuals act as middlemen, buying fresh-caught seafood from these disreputable sorts and selling them on. This is one such enterprise, which has clearly both been here a while, and not been entirely prosperous.",0,0
68,The beach,Sand that is white as snow. the water is as clear as a crystal. down the shore is some cliffs This beach is a very famous beach that everyone that lives in the area knows about. Most people come every summer and enjoy the weather.,0,0
70,abandoned mine,"It's dark, cold, and musty. There is old machinery lying around, rusting, and discarded tools lie on the ground. Cobwebs are everywhere. The rock walls are damp, and a trickle of water can be heard coming from somewhere off in the dark. This mine used to be very productive and lots of men worked in it. But eventually the stores of metal under the earth depleted, and it was abandoned because it was no longer profitable. The nearby village suffered as a result, with lots of people moving away. Some locals say this mine is haunted by spirits.",0,0
72,Bamboo hut,"Built of bamboo trunks and a bamboo leaf roof, this small hut has one window on each side and a short door, where those who enter must stoop down so they don't hit their heads. A dirt floor is covered with palm fronds gathered from the jungle; four small rocks are placed around the center of the room, forming a place for the occupants to sit. A small fire burns just outside of the hut, and a wooden spit is suspended over the fire. One of the support poles of the hut has a woven grass bag hanging from it. The bag contains a half-dozen coconuts, clearly gathered for consuming at a later time. A colorful lizard is sleeping in the sun in one of the windows. The hut was built by a tribesman who is the last of his people. It is his only shelter from the elements. He is afraid that if there is another strong monsoon, the hut may not survive and he will lose his only shelter and be forced to head down-river into unknown territory.",0,0
74,The Dungeon,"The dungeon is in the very most bottom room of the Palace. Many have gone down to the dungeon through the trap doors inside the palace and have never returned. Walls are covered with spider webs and bones from previous challengers to the throne. The brick dungeon is dark and mysterious. The dungeon was created to keep prisoners and challengers to the thrones for periods of time. The royalty felt it was less expensive to leave them there without eating and meet their fate down there. As time went on, more and more people were lost to the dungeon and it began to be darker and darker.",1,0
76,path in forest,"The trail path is a well designed path in the middle of a deep, dark forest. It is made purely from the bones of the innocent that were sacrificed to the ogre. There are eyes looking in the dark at you as you walk on the trail. The trail used to be a fun and interesting trail to walk on in the light before the war against humanity. Thousands of humans fought for the right of the trail and now it is dark and mysterious.",0,0
78,The prayer room,"It is serene and quiet. Some old gods and goddess statues are on the altar. They are made out of pure gold with some jewel for the ornaments. The red carpet welcomed the visitor and soon as you walk in, you can see the bright gold pillars surrounding the room. The prayer room is the place king and his general meet and pray before the war. They need to be purify before entering the room by the priest. They can ask guidance or help for any problems in the kingdom too and the priest is the one who interpret the god or goddess messages",0,0
80,Barn,A large shed like building aside any farmers house. Usually made out of wood with a large gate for moving animals. Used to store animals or farm equipment. A barn is must need for any farmer. It is the place of productivity. Where the cows can be milked and equipment is stored. A farmer without one is running the farm with out a leg. Simple yet helpful to such a degree where one might find a farmer spend most of his time in.,0,0
82,Cemetery,"Dim and low lit. The aura from this cemetery emits sadness and pain perpetually. You can feel and sense the eerie nature of the graveyard crawl up your spine. There seems to be a slight fog slowly making its way across the open parts of the cemetery. This graveyard is located outside the notorious town of Brimswood.
The many atrocities and constant stress filled throughout the town has earned it a reputation for being haunted by many spirits.",0,0
84,Meadow,"This meadow is composed of green, luscious, rolling hills. Flowers dot the expanse. In the evening, one may stand from the hills of this meadow and see the sun set beneath the horizon off in the distance. The meadow is the favorite haunt of children, particularly of the nobility. On a cool summer's eve, the children gather here to play their favorite sports.",0,0
86,Queen's Bedchamber,"The chamber is fit for royalty. A four-poster beds with a plush mattress adorns the room. A chifforobe of immense value is placed in the room, as is a bell for summoning a horde of servants. This is the Queen's bedroom, where she spends many lonely nights while her husband, the King Consort, has his affairs in another part of the castle.",0,0
88,Cave,"This cave is situated along a mountainous trail. It is dark and damp. A cold air rushes through the walls of the cave. Rumors say a bear lurks there, and all know not to travel there.",0,0
90,The altar room,"The central location of the temple is the altar room. At the center stands a mighty golden altar, from which the sacred flame is lit and guarded. Only the high priest and his supplicants may enter this room. This room is where the animal sacrifices are burned to satiate the gods. The fire is kept lit year-round. It is extinguished once per year, on the last day of the year, and relit the next day in honor of the new year.",1,0
92,Confessional,"The room is a small box, composed of sharply cut stone. The room is uncomfortably small, and filled with a lingering scent of something unfamiliar to the occupants. The confessional is used by the clergyman to collect the confessions of the parishioners. However it has secretly been used to gather sensitive information to blackmail the parishioners.",0,0
94,Torture Room,"The room is sparse and cold. A variety of torture implements are housed in the room, and a bloodied prisoner can often be found hanging in shackles on the wall of the room. The monarchs send their enemies here. The torture master is utilizes the room to extract information of use to the crown, then disposes of the remains.",0,0
96,Island,This island is located in the center of a lake. It is smaller than a ship and covered in moss. This island is an emergency refuge for those on the run or whose boats have capsized.,0,0
98,Lighthouse,"The lighthouse is an off-white color, towering fifty feet over the shore. The light from the building extends out for miles past the shoreline. The lighthouse was built a century ago to guide ships safely to shore. Even today the building provides a valuable service.",0,0
100,The bar,"The bar is made of oak wood. It is finely varnished, though dulled over time and covered with wet drinks. The saddest men of the town gathered to sit at this bar. They sing a song of sorrow and forget about life for a while.",0,0
102,Watchtower,"The tower is the largest section of the castle. It contains an observatory for nighttime scouting, but is also used by the wise men to study the stars. Armed guardsmen are always to be found keeping watch. This is the first line of defense for the castle. Any incursion against the royal family begins here. At the first sign of trouble, the watchmen alert the castle with the use of an alarm horn they have on their person at all times.",1,0
104,Port Tavern,"The port tavern is the shadiest of all the shady bars in the city. Every night, on its grimy stools at the wooden bar, you can find some of the slimiest sailors in the world. The walls are of peeling blue paint and are always dripping with condensation. Women of ill-repute line one wall, old men on the verge of passing out line another. The floor is littered with trash, barnacles, and bodily fluids. Tending the bar is a small, round man with a bushy mustache. The port tavern used to be a private domicile. It belonged to a wealthy merchant who lived there with his beautiful wife and daughters. This merchant was intelligent, charming, well-respected, and was addicted to gambling. Luck had been on his side for his entire life, until one night when he was playing cards against local merchants. Out of cash and overconfident, he bet his house to a small, round man with a bushy mustache and a questionable past.",0,0
106,Prison room,"Up at the top of the tower, among the gray clouds, is the prison room. The room is round, with a circumference of about 15 feet. The walls are barren and made of stone; only one barred window gives a view out onto the vast landscape. A small bed and a dirty wooden bucket are the only decorations. The desolate princess spends day and night laying on that small bed, wondering where things went wrong Daughter of the strapping king and his oriental wife, the young princess was the most beautiful girl in all the land. She was sweet and kind, and everyone loved her. When she reached adolescence, however, what the clergy called the 'devil's spell' took hold of her. No force in the world could keep her away from young men. Embarrassed, the king had this tower built specifically to hold his daughter.",0,0
108,Dungeon,"Dark and gloomy, the dungeon is the ugly underbelly of the castle. A few torches line the black stone walls, throwing a meager light on the iron bars of the cells. The air is damp and still; the only disruptions are the occasional anguished moans and cries from the prisoners. The existence of this dungeon predates the castle's current occupants. Only years after the duke inherited this castle from his father did he stumble upon a hidden trapdoor that concealed the staircase that led deep down into the dungeon. Inside were the skeletons of several men, still chained in their cells. One of those skeletons still had an ornate ruby necklace around its bony neck; it was the Duke's mother, who had mysteriously vanished years earlier. Now the Duke uses the dungeon to hold any dissenters.",1,0
110,Master Bedroom,"The master bedroom is the most lavish and beautiful room in the entire palace. On the ceiling is a painting made by the most famous artist in the palace, the floors are made of the most expensive marble, and gold-stitched tapestries line the walls. The mattress was made by the sleeping monks of the hidden mountains, the bed frame is made of solid god. When the owner's wife ran off with the palace cook, the man's ego was wounded beyond repair. Word of his wife's infidelity spread quickly and his reputation was ruined. In order to regain his pride, the owner built this new master bedroom. Rumors say he takes a new woman to this bedroom every night and none of them can resist its charm.",1,0
112,Outside Temple,"The outside temple is surrounded by lush green trees that have aged beautifully and carry beautiful blossoming jasmine flowers with a pink and white outline. The candles melted around the temple shine brightly and bring a light of glory to the place. Outside the temple by the entrance is where the building of it started. It started with 400 steps of stairs coming up the mountain, and at the top of the mountain after the war, the temple was built. It has held many festivals, and the front door is made from a rare wood from a tree that doesn't exist anymore.",0,0
114,Graveyard,"The dark and gloomy graveyard has fog all the time and has a large amount of graves everywhere you step. There are whispers and shadows that appear from the darkness and there is always a light drizzle that seems to moisten the place. The graveyard was started after the King's son died and they wanted to make a place just for royalty. For decades, this graveyard has held all the royal members that have come and go. The graveyard was expanded after they needed more room.",0,0
116,Outside Castle,"The outside castle is beautifully decorated with priceless gems and artifacts. The stone used is ancient and antique with a shiny gloss of silver. The gardens outside the castle are a beautiful green and have the most delightful flowers. The outside castle was constructed in ancient times before any other building. It's concrete was one of the first ever used, and the stones used on the entrance door date back to the prehistoric age.",0,0
118,The opening to the drawbridge of the castle,"The trailhead to the forest is a dirt trail, dusty as it has not rained in a while. The overhang of the trees is luscious and green with only patches of sunlight beaming through the dense canopy. There are many large trees, some with arrows still stuck in their trunks. The trail is treacherous as it leads through the densest part of the forest, through a stream and to a well-hidden castle. Once inside the forest, the shade and canopy has provided plenty of opportunities for foliage to grow making it harder to follow. The trail leads straight to the drawbridge of the castle. There are arrows stuck in the trunks of the trees from previous battles and the trunks also show scarring from sword hits. The trail leads straight through the forest to the castle which is hidden by the luscious canopy of the trees. Worthy opponents of the castle can get through the trail; however, they then are at the trailhead and face the castle's kingdom and army.",1,0
120,Bell Tower,The Bell Tower is steep and rises high above the building. The stairs are made of rickety wood and go up thirty stories. The bell is so old that the cracks seem almost perfectly set in the iron. The bell is rung daily at high noon. It also tolls when someone has died or married,0,0
122,Troll's bridge,Muddy and murky waters lie under a bridge that seems to go nowhere. It is made of cobblestone and just as long as it is wide. Beneath it live a hideous troll that makes people pay to cross. The troll has lived there for ages. It is a myth that he was cast there by a witch. Other's believe he so ugly that he was thrown away by his parents and he learned magic that gave him eternal life. He guards the cobblestone bridge and terrorizes people,0,0
124,Barn,"The old rustic barn was settled on the outermost edge of the farm.  Standing tall over the fields, this two-story red barn cast a long shadow over the field surrounding it.  Large wooden doors that could be propped open with great effort would lead you directly inside. This barn was a landmark of the farm.  Withstanding the elements for almost a century, it has kept it's original construct.  Whenever guests come for fresh eggs or milk, the farmer often boasts about it.",0,0
126,Dungeon within a castle,"The castles dungeon lay buried below the village on the outskirts of the castles garden. Only the guards have access to light, and light is given as a privilege. The interior is stone and smells of mildew and deadly black mold. The dungeon was initially created for only the worst enemies of the king, but with the rise of crime and corruption within the kingdom, it is now populated by even the most petty of criminals. Simply looking at a guard the wrong way can land you in the dark abysses of the cruel dungeon. An escape tunnel is believed to exist somewhere within, but the darkness makes it impossible to find, even for the guards.",0,0
128,A wooded magical village,"The village lay hidden in a secret grotto that is set in a sort of valley between trees. The village is populated by child-like peoples who wear clothes made of various plant matter such as large leaves and vines. The homes are made of wood, and seemingly blend into the green dense backdrop. The wooded grotto is home to a master wizard who is cared for by the child-like village people. He pays them by protecting them and their village from the dangerous animals that reside in the dark forest.",0,0
130,An abandoned castle on an ocean cliff side,"The castle is located at the top of an erosive cliff face of a vast ocean. An entire wing of the castle appear to have collapsed into the ocean due to the erosion of the cliff face, perhaps the reason why the castle now lay abandoned. The castle once belonged to a noble of a rather poor fishing village. He could not afford magical protection, so he was unable to protect his mighty castle from the erosion of the cliffs. An elderly man in the nearby fishing villages claims that the castle belonged to his family, but lacks the paperwork necessary to prove his claims.",0,0
132,Inside a desolate cave,"The dungeon exists inside a dark cave. Enchanted torches light the cave up and lead the way to this ancient dungeon. Creatures can be seen populating the dungeon, but it is unknown if they are malevolent or benign. The dungeon is believed to have been created by ancient nobility with the aid of wizards. The dungeon was likely a prison for powerful enemies of the kingdom who may break free of traditional prison captivity by force or magical abilities.",0,0
134,Knights Quarters,"The knights quarters are where the King's royal guard is allowed to lodge. The quarters are dimly lit and are generally only populated at night time. Several beds are aligned along the walls with locked trunks at the base of the beds, where the knights keep their personal belongings. The Knights Quarters were installed as an attempt at generosity by the King. The Knights live rent-free, but are not allowed to leave as long as they are employed. They must live here 24-7 and cannot take wives. Many of the knights have not seen sunlight since the last major battle. A hidden tunnel is located inside the trunk of an abandoned cot. It is believed to lead to a pub or perhaps a brothel.",0,0
136,A Dwarven City,"The dwarven city is located inside a hollowed out stony mountain. Benign dwarves populate the mountain city. Pillars of the entrance are adorned with gold, and inside the fortress exists a vast city bustling with strange magical technology. What once started as a mine within a mountain has since evolved into a massive city of exciting technology and lots of adventure. The ancestors of the dwarves sold the minerals acquired within the mountain to create a highly advanced civilization that appears foreign even to other dwarven cities. Magical carts can take you anywhere you need to go as long as you make your request in the difficult dwarven language.",0,0
138,Underground Chamber,"This location is very gloomy, damp and magical. Has a lot of geodes and various types of crystals. Not just anyone can enter into this underground chamber because it is guarded by mystical lions.",0,0
140,outside the church of monks,"the outside of the church of monks looks like it was made from live standing trees.  there are a few windows scattered throughout.  there is a long narrow door in the middle. the monks are not allowed to talk to anyone, so they have built the outside of their church to be as uninviting as possible.",0,0
142,Temple courtyard,"There are lots of ornate statues everywhere.  It is pretty busy because everyone comes here to pray. There are colorful pieces of cloth tied randomly everywhere.  There is also a huge statue in the middle that everyone is gathered around to pray. The temple is where everyone comes to pray.  It is the only temple for miles, so it is usually pretty crowded.",0,0
144,Inside the Unicorn palace,"The unicorn palace is so beautiful! It is covered in pastel colors, and wherever you look they form a rainbow.  The floor is made of special glittering grass that the unicorns feed on. The unicorn palace was built by the king to give them a place to come and restore their magic powers.  When they eat the grass, it replenishes their magical powers.",0,0
146,The werewolves tavern,"The tavern looks like a regular pub on the inside, but when you walk in there are chew toys littering the floor.  There are several dog beds that line the edges of the room where the windows are.  The bartender has a uniform on that is covered in bones The werewolves tavern is suppose to be a discreet place. No one wants to go in because they will probably never come out.  The only person that has dared to go in is the witch because she has a spell that makes her invisible to the werewolves.",0,0
148,Inside Temple,"It is solemn. There are candles lit everywhere and the although the temple is full, no one is speaking and all you can hear are muted scuffling feet.  There is an eerie shadow cast on the walls that look like there are ghosts moving from this realm to the next. The inside temple is not painted or colorful. It is intentionally left blank because it is believed that the spirits of our ancestors live here, and they require a blank slate to be able to move from this realm to the next.",0,0
150,The witches cottage,"The witches cottage has a huge cauldron in the middle of the cottage. There are shelves of glass jars that have things like spider legs, dragon toe nails, and fairy wings.  The floor is a dirt floor and the roof is made of wooden brooms. The witch was banished from the kingdom, so she needed a new home.  She built the cottage from the sticks she gathered from the forest floor.",0,0
152,Inside the fairy temple,"The fairy temple is very small.  No human has ever been in there, but there was a fairy interpreter that described it as covered in green leaves and grass.  He said they told him that there is a giant frog in the middle that eats all of the pesky flies. The fairy room was built by the fairies centuries ago.  It was built inside of a scarab beetle because the Egyptians admired the beetle, so they knew they would never destroy it.",0,0
154,Fairy Forest,"The fairy forest is full of brightly colored flowers that grow up to 30 feet tall.  There are also ornate birds that live here.  When you whistle, a fairy will come to you and tweak your nose.  They don't like a lot of nose so it irritates them enough for them to come out of their homes made from watermelon skins. The fairy forest was created when the king was annoyed by all the fairy flying around tweaking people's noses.  He banished them all to the fairy forest and told them if they ever annoyed him again, he would kill one unicorn for each offense.  The fairies think unicorns are their god, so they don't dare tempt the king.",0,0
156,Inside the fairies church,"No one has actually seen it, but a fairy interpreter asked a fairy and they described it as just a cloud of smoke and once in a while you trip over something in the floor.  The fairies purposely leave their trash in the floor because they think it is funny when people trip over them. The fairy church isn't really a church like we think.  Its more of a place for fairies to play tricks on other fairies.",1,0
158,Inside the king's palace,The inside of the palace is completely covered in gold.  There are ornate chandeliers hanging everywhere and there is food on golden tables all hours of the day.  The king also ordered everyone to always wear gold clothing and paint there faces gold. The palace was built by the Egyptians.  The king paid them with scarab beetles to build it.,0,0
160,Inside Temple,"The inside of the temple is brightly lit. It is covered in cave art with almost every color in the rainbow.  There are 2 large lion sculptures near the entrance that are guarding the temple from demons. This temple is said to house the gods themselves.  When mankind was new, they vowed to keep us safe on earth and so they were contained here so that we could visit and ask for favors from them.  Whenever someone asks for something, they are required to add to the cave paintings by adding a picture of their request.",0,0
162,Dining Hall,"The dining hall has a long, elegant wooden table with ornate chairs at both ends and along the sides. There are place settings at each seat with a rustic silverware set and gold plates. The wall is decorated with paintings of knights and past royalty. This dining hall was once the center of a huge conflict between two families. The argument was between two sons at dinner shortly after their dad had passed away. They fought over who would take over the throne, which led to the first bloodbath inside the kingdom. The younger son was victorious and the older son was slain to death.",0,0
164,Confessional Room,"The confessional room is small and cramped, offering access to only a single person at a time.  Once inside this small, wooden room, A person is alone with nothing but the cardinal and their own sins.  The confessional room has a single wooden bench and small table holding a candle, with a sliding window that allows words to pass through to the other side.  The cardinal waits on the other side, ready to absolve someone of their sins. The confessional room is one of the oldest rooms in the church.  Pilgrims come from far away to unload their sins and seek forgiveness from the cardinal.  Tucked away in a small corner of church, the confessional room is modest and secluded.  Although the demand is great, the confessional room is always ready for those who have need of it.",0,0
